;;;;;Janeiro;janeiro;janeiro;Fevereiro;Fevereiro;Fevereiro;Mar‡o;Mar‡o;Mar‡o;Abril;Abril;Abril;Maio;Maio;Maio
DRS;DRS Nome;COD_RS;Nome_RS;Municipio de residˆncia;notificados;confirmados aut¢ctone;confirmados importados;notificados;confirmados aut¢ctone;confirmados importados;notificados;confirmados aut¢ctone;confirmados importados;notificados;confirmados aut¢ctone;confirmados importados;notificados;confirmados aut¢ctone;confirmados importados
12;REGISTRO;35121;VALE DO RIBEIRA;350540 Barra do Turvo;0;0;0;5;0;0;3;1;0;0;0;0;5;1;0
12;REGISTRO;35121;VALE DO RIBEIRA;350925 Cajati;3;0;0;17;11;0;175;161;3;142;124;1;76;58;1
12;REGISTRO;35121;VALE DO RIBEIRA;350990 Canan‚ia;11;1;0;26;1;0;31;6;0;35;6;0;82;25;0
12;REGISTRO;35121;VALE DO RIBEIRA;351480 Eldorado;1;1;0;11;1;0;53;6;0;193;31;0;45;5;0
12;REGISTRO;35121;VALE DO RIBEIRA;352030 Iguape;40;5;0;153;15;0;270;41;0;334;48;0;239;43;0
12;REGISTRO;35121;VALE DO RIBEIRA;352042 Ilha Comprida;2;1;0;5;2;0;57;7;0;85;9;0;75;15;0
12;REGISTRO;35121;VALE DO RIBEIRA;352120 Iporanga;0;0;0;3;1;0;0;0;0;4;0;0;3;1;0
12;REGISTRO;35121;VALE DO RIBEIRA;352330 Itariri;0;0;0;6;2;0;36;16;0;132;20;0;17;5;0
12;REGISTRO;35121;VALE DO RIBEIRA;352460 Jacupiranga;0;0;0;13;1;0;56;2;0;149;4;0;106;3;0
12;REGISTRO;35121;VALE DO RIBEIRA;352610 Juqui ;11;0;0;169;13;0;486;6;0;123;2;0;12;1;0
12;REGISTRO;35121;VALE DO RIBEIRA;353620 PariqueraµA‡u;9;1;1;9;1;0;14;2;0;29;3;0;23;10;0
12;REGISTRO;35121;VALE DO RIBEIRA;353720 Pedro de Toledo;1;0;0;11;0;0;20;3;0;17;6;0;14;7;0
12;REGISTRO;35121;VALE DO RIBEIRA;354260 Registro;24;1;0;38;4;0;113;4;0;98;6;0;79;2;0
12;REGISTRO;35121;VALE DO RIBEIRA;355180 Sete Barras;19;2;0;47;4;0;117;3;0;120;10;0;156;11;0
12;REGISTRO;35121;VALE DO RIBEIRA;352990 Miracatu;2;0;0;10;2;0;49;0;0;40;0;0;4;1;0
